eliminar	REMOVE_TAKE-AWAY_KIDNAP GIVE-UP_ABOLISH_ABANDON MOVE-SOMETHING PRECLUDE_FORBID_EXPEL CANCEL_ELIMINATE KILL REFUSE EXCRETE DISCARD DISMISS_FIRE-SMN
abrogar	GIVE-UP_ABOLISH_ABANDON
suprimir	REMOVE_TAKE-AWAY_KIDNAP GIVE-UP_ABOLISH_ABANDON MOVE-SOMETHING ABSTAIN_AVOID_REFRAIN CANCEL_ELIMINATE RETAIN_KEEP_SAVE-MONEY MOVE-BACK DISCARD RECALL RESIGN_RETIRE DISMISS_FIRE-SMN
abolish	GIVE-UP_ABOLISH_ABANDON
get_rid_of	CANCEL_ELIMINATE GIVE-UP_ABOLISH_ABANDON DISCARD
derogar	CANCEL_ELIMINATE GIVE-UP_ABOLISH_ABANDON
abolir	CANCEL_ELIMINATE GIVE-UP_ABOLISH_ABANDON
abortar	PRECLUDE_FORBID_EXPEL STOP EXCRETE
abort	STOP EXCRETE
avorter	EXCRETE
interrumpir	CAUSE-MENTAL-STATE COMBINE_MIX_UNITE STOP FINISH_CONCLUDE_END MESS SPEAK
cancelar	STOP PAY CANCEL_ELIMINATE PUBLISH RESULT_CONSEQUENCE RESTORE-TO-PREVIOUS/INITIAL-STATE_UNDO_UNWIND
anular	STOP COMPENSATE FINISH_CONCLUDE_END DESTROY PRECLUDE_FORBID_EXPEL CANCEL_ELIMINATE DEFEAT RECOGNIZE_ADMIT_IDENTIFY
annuler	REMOVE_TAKE-AWAY_KIDNAP STOP RESTORE-TO-PREVIOUS/INITIAL-STATE_UNDO_UNWIND CANCEL_ELIMINATE
abundar	EXIST-WITH-FEATURE REACH
bristle	EXIST-WITH-FEATURE REACT RAISE
burst	EXIST-WITH-FEATURE OPEN EXPLODE APPEAR EMIT GO-FORWARD
abound	EXIST-WITH-FEATURE REACH
explotar	EXIST-WITH-FEATURE OPEN BENEFIT_EXPLOIT DESTROY REACT EXPLODE FILL PRONOUNCE
ser_rico	REACH
abonder_en	REACH
pullulate_with	REACH
abound_in	REACH
teem_in	REACH
about-face	TURN_CHANGE-DIRECTION THINK
gastar	BENEFIT_EXPLOIT CORRODE_WEAR-AWAY_SCRATCH CONSUME_SPEND DESTROY WASTE
rub_off	CORRODE_WEAR-AWAY_SCRATCH
gastarse	CORRODE_WEAR-AWAY_SCRATCH TRY
rub_down	TOUCH CORRODE_WEAR-AWAY_SCRATCH
abrase	CORRODE_WEAR-AWAY_SCRATCH
abrade	CORRODE_WEAR-AWAY_SCRATCH
corroerse	CORRODE_WEAR-AWAY_SCRATCH
desgastar	CORRODE_WEAR-AWAY_SCRATCH EXHAUST DESTROY WASTE REDUCE_DIMINISH
corrade	CORRODE_WEAR-AWAY_SCRATCH
raer	REMOVE_TAKE-AWAY_KIDNAP CORRODE_WEAR-AWAY_SCRATCH
scour	SEARCH CORRODE_WEAR-AWAY_SCRATCH WASH_CLEAN
fregar	CORRODE_WEAR-AWAY_SCRATCH DECEIVE WASH_CLEAN
descargar	REMOVE_TAKE-AWAY_KIDNAP SPILL_POUR DISMISS_FIRE-SMN TRANSMIT DROP SUBJECTIVE-JUDGING CANCEL_ELIMINATE EMPTY_UNLOAD SPEAK OPERATE LIBERATE_ALLOW_AFFORD SHOOT_LAUNCH_PROPEL
abreact	SPEAK
abrogate	GIVE-UP_ABOLISH_ABANDON
abscindir	REMOVE_TAKE-AWAY_KIDNAP
abscise	REMOVE_TAKE-AWAY_KIDNAP
escapar	MISS_OMIT_LACK ABSTAIN_AVOID_REFRAIN LEAVE_DEPART_RUN-AWAY
fugarse	LEAVE_DEPART_RUN-AWAY
run_off	COPY DRIVE-BACK LEAVE_DEPART_RUN-AWAY COMPETE FLOW
decamp	LEAVE_DEPART_RUN-AWAY
bolt	SECURE_FASTEN_TIE EAT_BITE ROLL JUMP LEAVE_DEPART_RUN-AWAY
absquatulate	LEAVE_DEPART_RUN-AWAY
go_off	STOP HAPPEN_OCCUR OPERATE LEAVE_DEPART_RUN-AWAY PRESS_PUSH_FOLD SHOOT_LAUNCH_PROPEL
make_off	LEAVE_DEPART_RUN-AWAY
abscond	LEAVE_DEPART_RUN-AWAY
esfumarse	SPEND-TIME_PASS-TIME DISAPPEAR CHANGE_SWITCH LEAVE_DEPART_RUN-AWAY
rope_down	FALL_SLIDE-DOWN
rappel	FALL_SLIDE-DOWN
descendre_en_rappel	FALL_SLIDE-DOWN
abseil	FALL_SLIDE-DOWN
descender_en_rapel	FALL_SLIDE-DOWN
remove	REMOVE_TAKE-AWAY_KIDNAP MOVE-SOMETHING KILL LEAVE_DEPART_RUN-AWAY DISCARD DISMISS_FIRE-SMN
ausentarse	MISS_OMIT_LACK LEAVE_DEPART_RUN-AWAY
absent	LEAVE_DEPART_RUN-AWAY
justificar	ADJUST_CORRECT GROUND_BASE_FOUND PROVE LIBERATE_ALLOW_AFFORD EXPLAIN JUSTIFY_EXCUSE
absolve	LIBERATE_ALLOW_AFFORD PARDON
liberar	LOAD_PROVIDE_CHARGE_FURNISH CAUSE-MENTAL-STATE HELP_HEAL_CARE_CURE CHANGE-HANDS EXEMPT PUBLISH UNFASTEN_UNFOLD LIBERATE_ALLOW_AFFORD
eximir	LIBERATE_ALLOW_AFFORD SUBJECTIVE-JUDGING EXEMPT
free	REMOVE_TAKE-AWAY_KIDNAP CHANGE-HANDS EXEMPT CANCEL_ELIMINATE EMIT PUBLISH UNFASTEN_UNFOLD LIBERATE_ALLOW_AFFORD
justify	ADJUST_CORRECT GROUND_BASE_FOUND PROVE LIBERATE_ALLOW_AFFORD JUSTIFY_EXCUSE
absolver	LIBERATE_ALLOW_AFFORD SUBJECTIVE-JUDGING REFUSE PARDON
shrive	PARDON
asimilar	CO-OPT SUMMARIZE LEARN CHANGE_SWITCH
absorver	CO-OPT ABSORB ATTRACT_SUCK
absorb	CAUSE-MENTAL-STATE COMBINE_MIX_UNITE BURDEN_BEAR ABSORB LEARN FOCUS CO-OPT
acoger	WELCOME AGREE_ACCEPT TAKE-SHELTER HOST_MEAL_INVITE CO-OPT
embelesarse	FOCUS
concentrarse	GROUP FOCUS
enfrascarse	FOCUS
immerse	ENCLOSE_WRAP INCITE_INDUCE FOCUS DIP_DIVE
sumergirse	REDUCE_DIMINISH FOCUS DIP_DIVE
empaparse	FOCUS DIP_DIVE
soak_up	ABSORB FOCUS
ensimismarse	FOCUS
abstraerse	FOCUS
engulf	COVER_SPREAD_SURMOUNT FOCUS
steep	FOCUS DIP_DIVE
zambullirse	REDUCE_DIMINISH FOCUS DIP_DIVE
absorberse	FOCUS
aislarse	ISOLATE FOCUS
plunge	FALL_SLIDE-DOWN BEGIN DIP_DIVE INCITE_INDUCE RUN FOCUS REDUCE_DIMINISH
engross	CAUSE-MENTAL-STATE FOCUS
absorber	CAUSE-MENTAL-STATE COMBINE_MIX_UNITE PAY BURDEN_BEAR ABSORB WET LEARN
imbibe	DRINK ABSORB LEARN
take_up	REMOVE_TAKE-AWAY_KIDNAP MOVE-ONESELF WORK CONTINUE ABSORB USE LEARN FOCUS RESTORE-TO-PREVIOUS/INITIAL-STATE_UNDO_UNWIND
sop_up	ABSORB
take_in	AMASS EARN DECEIVE EAT_BITE ABSORB LEARN TAKE-SHELTER HOST_MEAL_INVITE PRESS_PUSH_FOLD SEE CO-OPT HEAR_LISTEN VISIT REDUCE_DIMINISH
draw	REQUIRE_NEED_WANT_HOPE CHOOSE REPRESENT ABSORB INCITE_INDUCE OBTAIN ATTRACT_SUCK SHAPE REMOVE_TAKE-AWAY_KIDNAP BE-LOCATED_BASE PULL EXTRACT PRESS_PUSH_FOLD AIR SCORE MOVE-SOMETHING IMAGINE TRAVEL WRITE INSERT BREATH_BLOW REDUCE_DIMINISH EXTEND KILL PAINT
suck	EXIST-WITH-FEATURE ABSORB NOURISH_FEED HAVE-SEX ATTRACT_SUCK
suck_up	FLATTER BEHAVE ABSORB
engage	CAUSE-MENTAL-STATE FACE_CHALLENGE TAKE-A-SERVICE_RENT OPERATE CARRY-OUT-ACTION HIRE ALLY_ASSOCIATE_MARRY
occupy	CAUSE-MENTAL-STATE WORK REQUIRE_NEED_WANT_HOPE ATTACK_BOMB FILL CARRY-OUT-ACTION STAY_DWELL
atraer	CAUSE-MENTAL-STATE LURE_ENTICE LIKE ATTRACT_SUCK
ocupar	CAUSE-MENTAL-STATE MANAGE WORK REQUIRE_NEED_WANT_HOPE ATTACK_BOMB LIE POSSESS STAY_DWELL FILL CARRY-OUT-ACTION AFFECT STEAL_DEPRIVE
asumir	BEGIN PAY SUPPOSE WORK BURDEN_BEAR CHANGE-APPEARANCE/STATE RESULT_CONSEQUENCE INTERPRET
hacerse_cargo	BURDEN_BEAR WATCH_LOOK-OUT
take_over	BEGIN PAY REPEAT BURDEN_BEAR BUY EXEMPT LEARN STEAL_DEPRIVE
recibir	CAUSE-MENTAL-STATE WELCOME ABSORB RECORD AUTHORIZE_ADMIT TAKE-SHELTER OBTAIN HOST_MEAL_INVITE SHARE RESULT_CONSEQUENCE PERCEIVE RECEIVE
tomar_para_sí	ABSORB
ingest	LEARN EAT_BITE
empapar	PERMEATE DIP_DIVE WET LEARN AFFECT
assimilate	CO-OPT LEARN ABSORB CHANGE_SWITCH
abstenerse	ABSTAIN_AVOID_REFRAIN
abstener	ABSTAIN_AVOID_REFRAIN
abstain	ABSTAIN_AVOID_REFRAIN
desistir	ABSTAIN_AVOID_REFRAIN GIVE-UP_ABOLISH_ABANDON
inhibirse	ABSTAIN_AVOID_REFRAIN
refrain	ABSTAIN_AVOID_REFRAIN
desist	ABSTAIN_AVOID_REFRAIN
abstraer	THINK
abstract	THINK SUMMARIZE STEAL_DEPRIVE
abstractar	SUMMARIZE
extractar	CITE SUMMARIZE
swipe	HIT STEAL_DEPRIVE
guindar	STEAL_DEPRIVE
quitar	REMOVE_TAKE-AWAY_KIDNAP DISMISS_FIRE-SMN TAKE CORRODE_WEAR-AWAY_SCRATCH CONQUER CANCEL_ELIMINATE EMPTY_UNLOAD WASH_CLEAN DISCARD REDUCE_DIMINISH STEAL_DEPRIVE
snarf	STEAL_DEPRIVE
