sit-out	TOLERATE ABSTAIN_AVOID_REFRAIN
clack	MAKE_A_SOUND SPEAK
maunder	TRAVEL SPEAK
prattle	SPEAK
gibber	MAKE_A_SOUND SPEAK
blabber	SPEAK
gabble	SPEAK
catcall	SPEAK
present	WELCOME REPRESENT CREATE_MATERIALIZE SHOW PERFORM KNOW CHALLENGE_ENGAGE GIVE_GIFT SPEAK
give-tongue-to	SPEAK
breathe	BRING EXIST_LIVE AIR REST SHOW BREATH_BLOW EMIT SPEAK
lip-off	SPEAK
shoot-one's-mouth-off	SPEAK
harangue	SPEAK
monologuize	SPEAK
monologuise	SPEAK
soliloquize	SPEAK
soliloquise	SPEAK
continue	REMAIN GO_FORWARD PRESERVE EXTEND CONTINUE SPEAK
go-on	GO_FORWARD HAPPEN_OCCUR CONTINUE START_FUNCTIONING SPEAK
carry-on	MANAGE PRESERVE BEHAVE SPEAK
proceed	GO_FORWARD ORGANIZE CONTINUE SPEAK EXIST_WITH_FEATURE
hiss	MAKE_A_SOUND MOVE_ONESELF CRITICIZE SPEAK
sizz	MAKE_A_SOUND SPEAK
siss	MAKE_A_SOUND SPEAK
elocute	SPEAK
get-off	ABSTAIN_AVOID_REFRAIN LEAVE_DEPART_RUN_AWAY ENJOY LAND_GET_OFF HELP_HEAL_CARE_CURE FALL_SLIDE_DOWN SEND SPEAK LIKE EXEMPT
spiel	PERFORM SPEAK
share	SHARE SPEAK
clamor	OBLIGE_FORCE ASK_REQUEST SPEAK
clamour	ASK_REQUEST SPEAK
draw-out	ATTRACT_SUCK CHANGE_APPEARANCE/STATE REMOVE_TAKE_AWAY_KIDNAP INCREASE_ENLARGE_MULTIPLY SPEAK INFER
premise	PRECEDE SUPPOSE SPEAK
riddle	HOLE_PIERCE SEPARATE_FILTER_DETACH SPEAK CREATE_MATERIALIZE AFFECT EXPLAIN
opine	BELIEVE SPEAK
speak-up	SPEAK
speak-out	SPEAK
animadvert	CRITICIZE SPEAK
coo	MAKE_A_SOUND SPEAK
leak	SPILL_POUR FLOW PUBLISH SPEAK
conjugate	COMBINE_MIX_UNITE SPEAK
crack	HIT OVERCOME_SURPASS STEAL_DEPRIVE SEPARATE_FILTER_DETACH DAMAGE BREAK_DETERIORATE MAKE_A_SOUND SPEAK CONTRACT_AN_ILLNESS_INFECT
abuse	VIOLATE SPEAK
clapperclaw	CORRODE_WEAR_AWAY_SCRATCH SPEAK
blackguard	JOKE SPEAK
cover	PROTECT FUND REPLACE REPRESENT CLOUD_SHADOW_HIDE COVER_SPREAD_SURMOUNT INCLUDE_AS EXTEND COMPENSATE DIRECT_AIM_MANEUVER COMPARE ANALYZE HAVE_SEX PAY ASSIGN LIE SPEAK REACH_QUANTITY/QUALITY
treat	LOAD_PROVIDE_CHARGE_FURNISH FEED HELP_HEAL_CARE_CURE NEGOTIATE SPEAK PREPARE
handle	TOUCH SHOW CATCH SPEAK MANAGE
plow	TRAVEL GROW_PLOW SPEAK
deal	SELL CONSIDER FACE_CHALLENGE SHARE WORK_AS GIVE_GIFT CIRCULATE_SPREAD_DISTRIBUTE SPEAK MANAGE BEHAVE
rip-out	SPEAK
air	TRANSMIT AIR SPEAK
bare	EXPOSE REMOVE_TAKE_AWAY_KIDNAP SPEAK
render	CHANGE_APPEARANCE/STATE LOAD_PROVIDE_CHARGE_FURNISH COVER_SPREAD_SURMOUNT SHOW PERFORM SEPARATE_FILTER_DETACH GENERATE GIVE_BACK GIVE_GIFT SPEAK TRANSLATE
return	HIT RESTORE_STATE_UNDO_UNWIND CHANGE_HANDS GENERATE ANSWER SUBMIT GIVE_BACK CHOOSE SPEAK RETURN
mumble	EAT_BITE SPEAK
mutter	OPPOSE_REBEL_DISSENT SPEAK
mussitate	SPEAK
whisper	SPEAK
pontificate	LEAD_GOVERN SPEAK
collogue	SPEAK
blurt-out	SPEAK
blurt	SPEAK
blunder-out	SPEAK
blunder	GO_FORWARD MISTAKE SPEAK
ejaculate	EXCRETE SPEAK
pray	ASK_REQUEST SPEAK
turn-to	FOCUS SPEAK
level	DIRECT_AIM_MANEUVER FLATTEN_SMOOTHEN SPEAK
raise	FINISH_CONCLUDE_END ORGANIZE BUILD PRONOUNCE CREATE_MATERIALIZE GATHER GENERATE PROPOSE AROUSE_WAKE_ENLIVEN MAKE_A_SOUND RAISE DEVELOP_AGE SPEAK COMMUNICATE_CONTACT INCREASE_ENLARGE_MULTIPLY PROMOTE AMELIORATE BID
trump	WIN MAKE_A_SOUND PLAY_SPORT/GAME SPEAK
trump-out	SPEAK
troll	SHOOT_LAUNCH_PROPEL HUNT APPROVE_PRAISE TRAVEL SING SPEAK
descant	SING SPEAK
cry-out	SPEAK
outcry	SHOUT SPEAK
call-out	SUMMON CHALLENGE_ENGAGE SPEAK
get-out	ABSTAIN_AVOID_REFRAIN LEAVE_DEPART_RUN_AWAY REMOVE_TAKE_AWAY_KIDNAP PUBLICIZE TAKE SPEAK
gargle	WASH_CLEAN SPEAK
snap-up	TAKE
snaffle	TAKE BLOCK
grab	STEAL_DEPRIVE TAKE CATCH LIKE
get-hold-of	COMMUNICATE_CONTACT TAKE CAUSE_MENTAL_STATE
carry-back	TAKE
access	TAKE ENTER
win	AMELIORATE TAKE WIN SUCCEED
gain	TAKE EARN OBTAIN INCREASE_ENLARGE_MULTIPLY AMELIORATE BENEFIT_EXPLOIT ARRIVE
pick-up	GATHER MATCH PERCEIVE TAKE KNOW BUY RECORD AROUSE_WAKE_ENLIVEN OBTAIN INCREASE_ENLARGE_MULTIPLY DIG_UP CAGE_IMPRISON MEET EAT_BITE
sequester	STEAL_DEPRIVE CONVERT_CHEMICALLY/BIOLOGICALLY/PHYSICALLY REMOVE_TAKE_AWAY_KIDNAP ISOLATE TAKE
sequestrate	TAKE ISOLATE
keep-apart	TAKE
set-apart	TAKE ASSIGN
isolate	TAKE SEPARATE_FILTER_DETACH OBTAIN ISOLATE
come-by	TAKE VISIT
come-into	TAKE
brail	TAKE PULL
bring-out	EMPHASIZE REVEAL CHANGE_APPEARANCE/STATE SHOW TAKE PUBLISH
make	CHANGE_APPEARANCE/STATE PERFORM INCITE_INDUCE COURT TAKE RESULT_CONSEQUENCE ACHIEVE GUARANTEE_ENSURE_PROMISE INTERPRET CARRY_OUT_ACTION INCLUDE_AS CAUSE_MENTAL_STATE CAUSE EARN SCORE CREATE_MATERIALIZE COOK ARRIVE CONVERT REACH GO_FORWARD MOUNT_ASSEMBLE_PRODUCE GROUP ASSIGN SEEM EXCRETE OBLIGE_FORCE BEHAVE ORGANIZE ENJOY ESTABLISH SORT_CLASSIFY_ARRANGE CALCULATE_ESTIMATE IMAGINE REACH_QUANTITY/QUALITY EXIST_WITH_FEATURE
requisition	TAKE ASK_REQUEST
distrain	STEAL_DEPRIVE TAKE CHARGE
develop	TEACH OVERLAP INCREASE_ENLARGE_MULTIPLY CHANGE_APPEARANCE/STATE HAPPEN_OCCUR GROW_PLOW EMBELLISH SHOW APPEAR GENERATE TAKE DEVELOP_AGE CREATE_MATERIALIZE AMELIORATE BEGIN PLAY_SPORT/GAME
evolve	AMELIORATE TAKE CREATE_MATERIALIZE
earn	TAKE EARN
garner	TAKE STORE AMASS
dip	LOWER REMOVE_TAKE_AWAY_KIDNAP DIP_DIVE TAKE DIM REDUCE_DIMINISH
institutionalize	AUTHORIZE_ADMIT
institutionalise	AUTHORIZE_ADMIT
charge	ORDER CHARGE ASK_REQUEST TEACH RUN GIVE_GIFT LOAD_PROVIDE_CHARGE_FURNISH DIRECT_AIM_MANEUVER PUT_APPLY_PLACE_PAVE FUEL PAY FILL ASSIGN ATTACK_BOMB EXPERIENCE_MENTAL_STATE AUTHORIZE_ADMIT LIE ACCUSE
repatriate	MOVE_SOMETHING AUTHORIZE_ADMIT
prove	PROVE TRY AUTHORIZE_ADMIT INCREASE_ENLARGE_MULTIPLY
sanction	APPROVE_PRAISE COMMUNE AUTHORIZE_ADMIT
permit	LIBERATE_ALLOW_AFFORD AUTHORIZE_ADMIT
allow	LIBERATE_ALLOW_AFFORD LOAD_PROVIDE_CHARGE_FURNISH TAKE_INTO_ACCOUNT_CONSIDER STORE AUTHORIZE_ADMIT GIVE_GIFT
let	MOVE_SOMETHING LIBERATE_ALLOW_AFFORD TAKE_A_SERVICE_RENT CAUSE AUTHORIZE_ADMIT LEAVE_BEHIND
countenance	AUTHORIZE_ADMIT
formalize	AUTHORIZE_ADMIT
formalise	AUTHORIZE_ADMIT
admit	ENTER LOAD_PROVIDE_CHARGE_FURNISH ACCOMMODATE AUTHORIZE_ADMIT RECOGNIZE_ADMIT_IDENTIFY
take-on	BEGIN FACE_CHALLENGE AUTHORIZE_ADMIT CHANGE_APPEARANCE/STATE
decontrol	AUTHORIZE_ADMIT
endow	AUTHORIZE_ADMIT GIVE_GIFT
indue	AUTHORIZE_ADMIT
gift	AUTHORIZE_ADMIT GIVE_GIFT
empower	AUTHORIZE_ADMIT
invest	ASSIGN AUTHORIZE_ADMIT
endue	AUTHORIZE_ADMIT
entitle	ASSIGN NAME AUTHORIZE_ADMIT
franchise	AUTHORIZE_ADMIT
monetize	AUTHORIZE_ADMIT
monetise	AUTHORIZE_ADMIT
visa	LOAD_PROVIDE_CHARGE_FURNISH AUTHORIZE_ADMIT
authorize	AUTHORIZE_ADMIT
authorise	AUTHORIZE_ADMIT
pass	CHANGE_APPEARANCE/STATE CHANGE_HANDS APPROVE_PRAISE GIVE_GIFT ACHIEVE DISAPPEAR INFORM DIE AUTHORIZE_ADMIT GO_FORWARD SPEND_TIME_PASS_TIME OVERCOME_SURPASS HAPPEN_OCCUR THROW EXCRETE SUBJECTIVE_JUDGING MOVE_SOMETHING EXTEND LEAVE_BEHIND
clear	SUBJECTIVE_JUDGING SELL DISAPPEAR OVERCOME_SURPASS CANCEL_ELIMINATE LIGHTEN CREATE_MATERIALIZE REMOVE_TAKE_AWAY_KIDNAP APPROVE_PRAISE PAY WASH_CLEAN EARN EMPTY_UNLOAD AUTHORIZE_ADMIT GIVE_GIFT EXPLAIN
readmit	AUTHORIZE_ADMIT
sustain	STABILIZE_SUPPORT_PHYSICALLY EXTEND HELP_HEAL_CARE_CURE NOURISH_FEED UNDERGO_EXPERIENCE AUTHORIZE_ADMIT PROVE
legislate	AUTHORIZE_ADMIT
trust	RELY REQUIRE_NEED_WANT_HOPE BELIEVE AUTHORIZE_ADMIT GIVE_GIFT
induct	TEACH ASSIGN MOUNT_ASSEMBLE_PRODUCE AUTHORIZE_ADMIT
license	AUTHORIZE_ADMIT
licence	AUTHORIZE_ADMIT
certify	PROVE DECREE_DECLARE GUARANTEE_ENSURE_PROMISE AUTHORIZE_ADMIT
reenact	SIMULATE AUTHORIZE_ADMIT
constitutionalize	LOAD_PROVIDE_CHARGE_FURNISH TRAVEL AUTHORIZE_ADMIT
constitutionalise	AUTHORIZE_ADMIT
legitimate	AUTHORIZE_ADMIT
execute	CARRY_OUT_ACTION OPERATE KILL AUTHORIZE_ADMIT
validate	PROVE AUTHORIZE_ADMIT
initiate	BEGIN ESTABLISH AUTHORIZE_ADMIT
capacitate	CAUSE_MENTAL_STATE AUTHORIZE_ADMIT CHANGE_APPEARANCE/STATE
enfranchise	LIBERATE_ALLOW_AFFORD AUTHORIZE_ADMIT
liberalize	LIBERATE_ALLOW_AFFORD AUTHORIZE_ADMIT
liberalise	LIBERATE_ALLOW_AFFORD AUTHORIZE_ADMIT
furlough	AUTHORIZE_ADMIT DISMISS_FIRE
certificate	DECREE_DECLARE AUTHORIZE_ADMIT
legalize	AUTHORIZE_ADMIT
legalise	AUTHORIZE_ADMIT
decriminalize	AUTHORIZE_ADMIT
decriminalise	AUTHORIZE_ADMIT
legitimize	AUTHORIZE_ADMIT
legitimise	AUTHORIZE_ADMIT
legitimatize	AUTHORIZE_ADMIT
legitimatise	AUTHORIZE_ADMIT
let-in	AUTHORIZE_ADMIT
include	INCLUDE_AS ADD AUTHORIZE_ADMIT
allow-in	AUTHORIZE_ADMIT
intromit	AUTHORIZE_ADMIT
withhold	RETAIN_KEEP_SAVE_MONEY REFUSE
deduct	REMOVE_TAKE_AWAY_KIDNAP RETAIN_KEEP_SAVE_MONEY INFER
recoup	PAY RETAIN_KEEP_SAVE_MONEY OBTAIN
retain	REMEMBER CONTINUE RETAIN_KEEP_SAVE_MONEY
hold	POSSESS FOLLOW_SUPPORT_SPONSOR_FUND RESERVE RESIST DIRECT_AIM_MANEUVER AGREE_ACCEPT STOP CONTAIN PROTECT REMAIN STABILIZE_SUPPORT_PHYSICALLY ACCOMMODATE RETAIN_KEEP_SAVE_MONEY APPLY EXIST_LIVE DECREE_DECLARE RESTRAIN BELIEVE EXPERIENCE_MENTAL_STATE CLOSE REDUCE_DIMINISH MANAGE OBLIGE_FORCE AFFIRM ORGANIZE ENJOY CATCH EXIST_WITH_FEATURE
keep-back	RETAIN_KEEP_SAVE_MONEY REFUSE
hold-back	ABSTAIN_AVOID_REFRAIN CLOUD_SHADOW_HIDE BLOCK RETAIN_KEEP_SAVE_MONEY WAIT
keep	PROTECT REMAIN PRESERVE RESTRAIN PRECLUDE_FORBID_EXPEL CONTINUE HELP_HEAL_CARE_CURE STORE ACCOMMODATE MATCH RECORD HARMONIZE RETAIN_KEEP_SAVE_MONEY WATCH_LOOK_OUT BEHAVE
save	ABSTAIN_AVOID_REFRAIN HELP_HEAL_CARE_CURE STORE RECORD RETAIN_KEEP_SAVE_MONEY
make-unnecessary	RETAIN_KEEP_SAVE_MONEY
harbor	STAY_DWELL RETAIN_KEEP_SAVE_MONEY EXPERIENCE_MENTAL_STATE
harbour	STAY_DWELL RETAIN_KEEP_SAVE_MONEY EXPERIENCE_MENTAL_STATE
mortify	HURT_HARM_ACHE DOWNPLAY_HUMILIATE RETAIN_KEEP_SAVE_MONEY
subdue	OVERCOME_SURPASS SUBJUGATE PRECLUDE_FORBID_EXPEL REPRIMAND RETAIN_KEEP_SAVE_MONEY
crucify	KILL RETAIN_KEEP_SAVE_MONEY CRITICIZE
economize	PRESERVE RETAIN_KEEP_SAVE_MONEY
economise	PRESERVE RETAIN_KEEP_SAVE_MONEY
suppress	SUBJUGATE PRECLUDE_FORBID_EXPEL RETAIN_KEEP_SAVE_MONEY
retrench	REDUCE_DIMINISH RETAIN_KEEP_SAVE_MONEY
keep-open	RETAIN_KEEP_SAVE_MONEY
hold-open	RETAIN_KEEP_SAVE_MONEY
keep-down	DELIMIT_RESTRICT SUBJUGATE RETAIN_KEEP_SAVE_MONEY
inhibit	RESTRAIN PRECLUDE_FORBID_EXPEL RETAIN_KEEP_SAVE_MONEY WEAKEN
bottle-up	RETAIN_KEEP_SAVE_MONEY
lock-in	CAGE_IMPRISON RETAIN_KEEP_SAVE_MONEY
seal-in	RETAIN_KEEP_SAVE_MONEY
hold-on	WAIT CONTINUE RETAIN_KEEP_SAVE_MONEY CATCH
immobilize	BLOCK RETAIN_KEEP_SAVE_MONEY
immobilise	BLOCK RETAIN_KEEP_SAVE_MONEY
scant	LOAD_PROVIDE_CHARGE_FURNISH RETAIN_KEEP_SAVE_MONEY WORK
skimp	LOAD_PROVIDE_CHARGE_FURNISH CONTINUE RETAIN_KEEP_SAVE_MONEY WORK
tighten-one's-belt	RETAIN_KEEP_SAVE_MONEY
conserve	PRESERVE RETAIN_KEEP_SAVE_MONEY
repress	SUBJUGATE BLOCK RETAIN_KEEP_SAVE_MONEY CLOUD_SHADOW_HIDE
hold-the-line	WAIT RETAIN_KEEP_SAVE_MONEY
choke-off	BLOCK RETAIN_KEEP_SAVE_MONEY
choke-down	RETAIN_KEEP_SAVE_MONEY
choke-back	RETAIN_KEEP_SAVE_MONEY
scrape	HURT_HARM_ACHE CORRODE_WEAR_AWAY_SCRATCH LOWER RETAIN_KEEP_SAVE_MONEY
scrape-up	RETAIN_KEEP_SAVE_MONEY
scratch	CORRODE_WEAR_AWAY_SCRATCH CANCEL_ELIMINATE TOUCH ANNUL RETAIN_KEEP_SAVE_MONEY CAVE_CARVE
come-up	BRING FIND CITE START_FUNCTIONING AMASS RETAIN_KEEP_SAVE_MONEY RESULT_CONSEQUENCE RAISE BEGIN RISE_TO_SURFACE ARRIVE
hold-down	RESTRAIN RETAIN_KEEP_SAVE_MONEY
dock	STEAL_DEPRIVE LAND_GET_OFF RETAIN_KEEP_SAVE_MONEY CUT
restrain	OBLIGE_FORCE RESTRAIN RETAIN_KEEP_SAVE_MONEY
chant	PERFORM SING
intone	PERFORM SING PRONOUNCE
intonate	PERFORM PRONOUNCE
cantillate	PERFORM
blow	REVEAL SHAPE LEAVE_DEPART_RUN_AWAY GIVE_BIRTH AIR REST EXPLODE PERFORM BREATH_BLOW BREAK_DETERIORATE WASTE TRAVEL HAVE_SEX MESS BEHAVE
strike	HIT CANCEL_ELIMINATE DECREE_DECLARE FIND BUILD FLATTEN_SMOOTHEN SEEM CREATE_MATERIALIZE PERFORM HOLE_PIERCE FEEL OPPOSE_REBEL_DISSENT SIGNAL_INDICATE EXPERIENCE_MENTAL_STATE ATTACK_BOMB BEGIN AFFECT MOVE_ONESELF
hit	HIT SHOOT_LAUNCH_PROPEL PERFORM COURT DRINK KILL SCORE EXPERIENCE_MENTAL_STATE ATTACK_BOMB ARRIVE AFFECT REACH_QUANTITY/QUALITY MEET
beat-out	DEFEAT PERFORM
tap-out	PERFORM
thump-out	PERFORM
emote	PERFORM
strike-up	BEGIN PERFORM
act	CARRY_OUT_ACTION PERFORM WORK_AS AFFECT BEHAVE
busk	PERFORM
go	FOLLOW_SUPPORT_SPONSOR_FUND PERFORM GIVE_GIFT CONTAIN OPERATE LEAVE_DEPART_RUN_AWAY DISAPPEAR CONTINUE DIE PLAY_SPORT/GAME GO_FORWARD CONSUME_SPEND MAKE_A_SOUND HARMONIZE BEGIN SEARCH CHANGE_SWITCH ENTER ORGANIZE EXTEND BREAK_DETERIORATE COMPARE FIT LIE EXIST_WITH_FEATURE
roll	OPERATE SHAPE OVERCOME_SURPASS HEAT HAPPEN_OCCUR FLATTEN_SMOOTHEN PRONOUNCE PERFORM COIL TRAVEL FALL_SLIDE_DOWN MAKE_A_SOUND OBTAIN ROLL MOVE_ONESELF
harp	PERFORM REFER
run	CHANGE_APPEARANCE/STATE PERFORM COMPETE AFFECT RESTORE_STATE_UNDO_UNWIND OPERATE LEAVE_DEPART_RUN_AWAY CARRY_OUT_ACTION SHOW COVER_SPREAD_SURMOUNT CONTINUE TRAVEL HUNT RUN LIBERATE_ALLOW_AFFORD HAPPEN_OCCUR HAVE_SEX MANAGE BEHAVE CHANGE_SWITCH MOVE_SOMETHING SELL EXTEND BREAK_DETERIORATE SUCCEED FLOW MOVE_ONESELF EXIST_WITH_FEATURE
play-back	PERFORM
replay	FACE_CHALLENGE PERFORM PLAY_SPORT/GAME
sightsing	PERFORM
sight-sing	PERFORM
spread-eagle	DEFEAT PERFORM EXTEND LIE
clap	HIT PERFORM APPROVE_PRAISE SEND MOVE_ONESELF
spat	HIT GIVE_BIRTH PERFORM APPROVE_PRAISE FALL_SLIDE_DOWN ATTACH QUARREL_POLEMICIZE
play	SPILL_POUR HIT OPERATE RUN TOUCH HAPPEN_OCCUR INTERPRET PLAY_SPORT/GAME PERFORM SHOW FACE_CHALLENGE USE BID AFFECT BENEFIT_EXPLOIT MOVE_ONESELF EXHAUST BEHAVE
interlude	PERFORM
syncopate	PERFORM MISS_OMIT_LACK
stooge	PERFORM MOVE_BY_MEANS_OF BEHAVE
represent	REPRESENT INTERPRET SHOW PERFORM ARGUE_IN_DEFENSE EXIST_WITH_FEATURE
glissade	PERFORM
play-along	PERFORM ALLY_ASSOCIATE_MARRY
accompany	PERFORM ACCOMPANY
symphonize	PERFORM
symphonise	PERFORM
ring	PERFORM SIGNAL_INDICATE MAKE_A_SOUND COMMUNICATE_CONTACT ENCLOSE_WRAP REPEAT
knell	PERFORM MAKE_A_SOUND
rag	BOTHER PERFORM BREAK_DETERIORATE OFFEND_DISESTEEM REPRIMAND
strum	PERFORM
thrum	PERFORM MAKE_A_SOUND
tumble	DESTROY UNDERSTAND FAIL_LOSE PERFORM FLY FALL_SLIDE_DOWN DISORDER_RANDOMIZE DRY PRESS_PUSH_FOLD MOVE_ONESELF REDUCE_DIMINISH
interpret	UNDERSTAND REPRESENT INTERPRET PERFORM TRANSLATE
roleplay	PERFORM
playact	PERFORM
star	PERFORM SIGNAL_INDICATE EXIST_WITH_FEATURE
heel	HIT INCLINE PERFORM REPAIR_REMEDY FOLLOW_IN_SPACE
fiddle	FAKE ABSTAIN_AVOID_REFRAIN TOUCH STEAL_DEPRIVE PERFORM REPAIR_REMEDY
co-star	PERFORM EXIST_WITH_FEATURE
whistle	MOVE_SOMETHING PERFORM TRAVEL SIGNAL_INDICATE MAKE_A_SOUND
ding	PERFORM
dong	PERFORM
dingdong	PERFORM
cartwheel	PERFORM
double-tongue	PERFORM
triple-tongue	PERFORM
register	PERFORM APPEAR PERCEIVE REQUIRE_NEED_WANT_HOPE RECORD SEND COMPETE RECOGNIZE_ADMIT_IDENTIFY
misplay	PERFORM PLAY_SPORT/GAME
pipe-up	PERFORM MAKE_A_SOUND
gong	PERFORM
premier	SHOW PERFORM
premiere	SHOW PERFORM
turn	DRIVE_BACK CHANGE_APPEARANCE/STATE PERFORM DIRECT_AIM_MANEUVER FOCUS EMPTY_UNLOAD OPERATE COLOR EARN SHAPE OVERCOME_SURPASS GROW_PLOW HURT_HARM_ACHE DEVELOP_AGE SPOIL INVERT_REVERSE CHANGE_SWITCH SUMMON TURN_CHANGE_DIRECTION MOVE_ONESELF
capriole	DANCE PERFORM
bow	PERFORM GIVE_UP_ABOLISH_ABANDON LOWER
tweedle	PERFORM LURE_ENTICE SING
worship	LIKE PERFORM EXALT
debut	SHOW PERFORM
beat	HIT MOVE_SOMETHING SHAPE OVERCOME_SURPASS STEAL_DEPRIVE DEFEAT PERFORM CAUSE_MENTAL_STATE MAKE_A_SOUND CREATE_MATERIALIZE LIGHT_SHINE MOVE_ONESELF EXHAUST
twang	HURT_HARM_ACHE PERFORM MAKE_A_SOUND PRONOUNCE
sound	PRONOUNCE PERFORM EXIST_WITH_FEATURE MAKE_A_SOUND SEEM MEASURE_EVALUATE
bang-out	PERFORM
tintinnabulate	PERFORM
concertize	PERFORM
concertise	PERFORM
grandstand	PERFORM
conduct	MOVE_SOMETHING PERFORM CIRCULATE_SPREAD_DISTRIBUTE LEAD_GOVERN MANAGE BEHAVE
pretend	ASK_REQUEST GUESS PERFORM PRETEND DECEIVE BEHAVE
make-believe	PERFORM
disk-jockey	PERFORM
disc-jockey	PERFORM
DJ	PERFORM
declaim	PERFORM CRITICIZE
prepare	TEACH ORGANIZE PERFORM COOK PREPARE STUDY
solo	PERFORM FLY
harmonize	PERFORM COMBINE_MIX_UNITE HARMONIZE CREATE_MATERIALIZE
harmonise	PERFORM COMBINE_MIX_UNITE HARMONIZE CREATE_MATERIALIZE
skirl	PERFORM MAKE_A_SOUND
rerun	COMPETE PERFORM TRANSMIT OPERATE
serenade	PERFORM
chasse	PERFORM
sashay	TRAVEL PERFORM MOVE_ONESELF
hymn	PERFORM SING
take-the-road	PERFORM
chord	PERFORM HARMONIZE
swing	GO_FORWARD MOVE_SOMETHING HIT ALTERNATE HANG EXIST_LIVE INFLUENCE PERFORM HAVE_SEX TURN_CHANGE_DIRECTION BEFRIEND EXIST_WITH_FEATURE
riff	PERFORM ANALYZE
stage	CARRY_OUT_ACTION PERFORM
put-on	ORGANIZE PERFORM PUT_APPLY_PLACE_PAVE DRESS_WEAR INCREASE_ENLARGE_MULTIPLY DECEIVE COOK ADD
turn-in	PERFORM ENTER SLEEP GIVE_GIFT
underperform	PERFORM ACHIEVE
sightread	PERFORM
sight-read	PERFORM
hot-dog	PERFORM
counterpoint	PERFORM DISTINGUISH_DIFFER
drum	PERFORM MAKE_A_SOUND STUDY
underact	PERFORM
underplay	PERFORM PLAY_SPORT/GAME
stunt	PERFORM BLOCK
pirouette	PERFORM
perform	CARRY_OUT_ACTION PERFORM EMCEE
prelude	PERFORM PRECEDE
shamanize	PERFORM
shamanise	PERFORM
impersonate	PERFORM JOKE DECEIVE
portray	PAINT PERFORM REPRESENT
toll	CHARGE PERFORM
confirm	AFFIRM FOLLOW_SUPPORT_SPONSOR_FUND PERFORM PROVE STRENGTHEN_MAKE_RESISTANT
jazz	HAVE_SEX PERFORM
somersault	PERFORM
bugle	PERFORM
tongue	PERFORM TASTE
act-out	SIMULATE PERFORM
tootle	PERFORM
underachieve	ACHIEVE
make-it	ACHIEVE SUCCEED OVERCOME_SURPASS
culminate	FINISH_CONCLUDE_END COVER_SPREAD_SURMOUNT REACH_QUANTITY/QUALITY ACHIEVE REACH
overachieve	ACHIEVE
whore	HAVE_SEX ACHIEVE WORK_AS
achieve	ACHIEVE
accomplish	CARRY_OUT_ACTION ACHIEVE
attain	ACHIEVE ARRIVE REACH_QUANTITY/QUALITY FIND
reach	EXTEND REACH_QUANTITY/QUALITY GIVE_GIFT COMMUNICATE_CONTACT ACHIEVE EXHAUST ARRIVE
get-around-to	ACHIEVE
get-to	BEGIN ACHIEVE BOTHER
progress-to	ACHIEVE
nail-down	ACHIEVE FINISH_CONCLUDE_END DECIDE_DETERMINE
nail	HIT DECIDE_DETERMINE ATTACH SUCCEED CAGE_IMPRISON ACHIEVE
peg	ACHIEVE COMPENSATE SECURE_FASTEN_TIE HOLE_PIERCE
compass	TRAVEL ACHIEVE UNDERSTAND
habilitate	ACHIEVE DRESS_WEAR
refresh	CHANGE_SWITCH WASH_CLEAN COOL STUDY
freshen	CHANGE_SWITCH WASH_CLEAN COOL
refreshen	CHANGE_SWITCH WASH_CLEAN
etherealize	CHANGE_SWITCH
etherialise	CHANGE_SWITCH
modulate	CHANGE_SWITCH ADJUST_CORRECT
unscramble	CHANGE_SWITCH RESTORE_STATE_UNDO_UNWIND
discolor	CHANGE_SWITCH COLOR
switch	INVERT_REVERSE CHANGE_SWITCH OPERATE HIT REPLACE CHANGE_HANDS
shift	CHANGE_SWITCH MOVE_SOMETHING GO_FORWARD REPLACE CHANGE_APPEARANCE/STATE TYPE CHANGE_HANDS TURN_CHANGE_DIRECTION MOVE_ONESELF
change	CONVERT CHANGE_SWITCH REPLACE DIVERSIFY CHANGE_APPEARANCE/STATE REMOVE_TAKE_AWAY_KIDNAP UNDERGO_EXPERIENCE DRESS_WEAR
politicize	CHANGE_SWITCH
politicise	CHANGE_SWITCH
change-intensity	CHANGE_SWITCH
socialize	TEACH CHANGE_SWITCH PARTICIPATE
socialise	TEACH CHANGE_SWITCH PARTICIPATE
redevelop	AMELIORATE CHANGE_SWITCH CREATE_MATERIALIZE
internationalize	CHANGE_SWITCH LEAD_GOVERN
internationalise	CHANGE_SWITCH LEAD_GOVERN
transform	CHANGE_SWITCH CONVERT_CHEMICALLY/BIOLOGICALLY/PHYSICALLY CHANGE_APPEARANCE/STATE
break	DESTROY CHANGE_APPEARANCE/STATE DIVIDE HOLE_PIERCE STOP ANNUL SOLVE FINISH_CONCLUDE_END LEAVE_DEPART_RUN_AWAY FAIL_LOSE SEPARATE_FILTER_DETACH COIL HAPPEN_OCCUR SUBJUGATE DAMAGE VIOLATE ASSIGN DEVELOP_AGE AMELIORATE BEGIN WEAKEN DISBAND_BREAK_UP CHANGE_SWITCH REVEAL DANCE APPEAR PUBLICIZE BREAK_DETERIORATE EMIT PROVE DECREASE TURN_CHANGE_DIRECTION
depersonalize	CHANGE_SWITCH
depersonalise	CHANGE_SWITCH
objectify	CONVERT CHANGE_SWITCH
transition	CHANGE_SWITCH
revolutionize	TEACH CHANGE_SWITCH OPPOSE_REBEL_DISSENT
revolutionise	TEACH CHANGE_SWITCH
