sit-out	TOLERATE ABSTAIN_AVOID_REFRAIN
set-about	BEGIN LEARN
go-about	LEARN
approach	GO_FORWARD LEARN SPEAK REACH EXIST_WITH_FEATURE
introject	LEARN
master	KNOW SUBJUGATE LEARN OVERCOME_SURPASS
get-the-hang	LEARN
steep	CONCENTRATE_DEDICATE DIP_DIVE
immerse	ENCLOSE_WRAP CONCENTRATE_DEDICATE DIP_DIVE
engulf	COVER_SPREAD_SURMOUNT CONCENTRATE_DEDICATE
plunge	RUN DECREASE CONCENTRATE_DEDICATE DIP_DIVE FALL_SLIDE_DOWN BEGIN
engross	CONCENTRATE_DEDICATE
address	BE_LOCATED_BASE CONCENTRATE_DEDICATE PUT_APPLY_PLACE_PAVE SPEAK ADJUST_CORRECT
apply	ASK_REQUEST APPLY OPERATE CARRY_OUT_ACTION CONCENTRATE_DEDICATE PUT_APPLY_PLACE_PAVE SPEAK
vow	GUARANTEE_ENSURE_PROMISE CONCENTRATE_DEDICATE
consecrate	ASSIGN COMMUNE CONCENTRATE_DEDICATE
give	CHANGE_HANDS PERFORM THINK BEND GIVE_GIFT CARRY_OUT_ACTION SHOW GENERATE INFORM CAUSE NOURISH_FEED APPLY HAPPEN_OCCUR PUNISH HAVE_SEX MAKE_A_SOUND SPEAK MOVE_SOMETHING ENTER ORGANIZE PERSUADE CONCENTRATE_DEDICATE BREAK_DETERIORATE PROPOSE CALCULATE_ESTIMATE FACIAL_EXPRESSION OFFER
dedicate	HAVE_A_FUNCTION_SERVE INAUGURATE CONCENTRATE_DEDICATE SPEAK
commit	CARRY_OUT_ACTION CONCENTRATE_DEDICATE VIOLATE AUTHORIZE_ADMIT GIVE_GIFT
devote	PLAN_SCHEDULE CONCENTRATE_DEDICATE THINK
engage	OPERATE ALLY_ASSOCIATE_MARRY TAKE_A_SERVICE_RENT CARRY_OUT_ACTION FACE_CHALLENGE CONCENTRATE_DEDICATE HIRE
occupy	CARRY_OUT_ACTION CONCENTRATE_DEDICATE WORK_AS CAUSE_MENTAL_STATE REQUIRE_NEED_WANT_HOPE FILL ATTACK_BOMB STAY_DWELL
rededicate	CONCENTRATE_DEDICATE
catholicize	CO_OPT
catholicise	CO_OPT
latinize	CO_OPT
latinise	CO_OPT
acculturate	CO_OPT
co-opt	FOLLOW_SUPPORT_SPONSOR_FUND CO_OPT
empanel	CHOOSE CO_OPT
impanel	CHOOSE CO_OPT
Christianize	CHANGE_APPEARANCE/STATE CO_OPT
Christianise	CO_OPT
involve	CO_OPT INCLUDE_AS IMPLY CAUSE_MENTAL_STATE REQUIRE_NEED_WANT_HOPE AFFECT COMPLEXIFY
evangelize	TEACH CO_OPT
evangelise	TEACH CO_OPT
stalinize	CO_OPT
stalinise	CO_OPT
nazify	CO_OPT
declare	RECORD DECREE_DECLARE AUTHORIZE_ADMIT SPEAK
ooh	SPEAK
aah	SPEAK
prologize	SPEAK
prologuize	SPEAK
prologise	SPEAK
yarn	SPEAK
bleat	MAKE_A_SOUND SPEAK
evade	ABSTAIN_AVOID_REFRAIN LEAVE_DEPART_RUN_AWAY SPEAK
talk-down	DOWNPLAY_HUMILIATE SPEAK
indicate	SHOW SIGNAL_INDICATE PROPOSE SPEAK
pant	BREATH_BLOW SPEAK
rap	PERFORM TOUCH HIT SPEAK
express	SHOW EXTRACT SEND SPEAK
state	PROPOSE SPEAK
recite	PERFORM EXPLAIN SPEAK
retell	REPEAT REPRESENT SPEAK
burst-out	BEGIN APPEAR SPEAK
rhapsodize	PERFORM SPEAK
rhapsodise	PERFORM SPEAK
mouth	TOUCH SPEAK
speak	MAKE_A_SOUND SPEAK
talk	SPEAK
cheek	SPEAK
clarion	PERFORM SPEAK
add	EXIST_WITH_FEATURE ADD SPEAK
append	ATTACH ADD SPEAK
supply	LOAD_PROVIDE_CHARGE_FURNISH SPEAK
sibilate	MAKE_A_SOUND PRONOUNCE SPEAK
close-up	JOIN_CONNECT FINISH_CONCLUDE_END BLOCK SPEAK
clam-up	SPEAK
dummy-up	SHAPE SPEAK
shut-up	CAGE_IMPRISON MAKE_A_SOUND SPEAK
belt-up	SPEAK
button-up	SPEAK
be-quiet	SPEAK
keep-mum	SPEAK
yack	SPEAK
jaw	EAT_BITE REPRIMAND SPEAK
yack-away	SPEAK
rattle-on	SPEAK
yap-away	SPEAK
puff	BREATH_BLOW APPROVE_PRAISE AROUSE_WAKE_ENLIVEN INCREASE_ENLARGE_MULTIPLY SPEAK
shoot	INSERT SHOOT_LAUNCH_PROPEL RUN GROW_PLOW DIRECT_AIM_MANEUVER THROW EMIT HURT_HARM_ACHE WASTE KILL RECORD SCORE SPEAK WEAVE MEASURE_EVALUATE
smatter	WORK SPEAK
halloo	INCITE_INDUCE SPEAK
inscribe	CONVERT PAINT RECORD HIRE CAVE_CARVE SPEAK WRITE
babble	FLOW SPEAK
blather	SPEAK
blether	SPEAK
blither	SPEAK
cackle	MAKE_A_SOUND LAUGH SPEAK
ramble-on	SPEAK
ramble	TRAVEL SPEAK
jog	RUN FLATTEN_SMOOTHEN PUSH_SOMEONE TRAVEL AROUSE_WAKE_ENLIVEN SPEAK
murmur	OPPOSE_REBEL_DISSENT SPEAK
lecture	REPRIMAND SPEAK
offer	ASK_REQUEST SELL ORGANIZE LOAD_PROVIDE_CHARGE_FURNISH PERFORM GIVE_GIFT SPEAK OFFER
extend	TRY EXTEND MOVE_BY_MEANS_OF INCREASE_ENLARGE_MULTIPLY SPEAK OFFER
sputter	RISE_GO_UP REMOVE_TAKE_AWAY_KIDNAP MAKE_A_SOUND SPEAK EXCRETE
splutter	EXCRETE SPEAK
hurl	GO_FORWARD THROW SPEAK
